key	de	es	fr	nl
achievements	Erfolge	Logros	Succès	Prestaties
appSettings	App-Einstellungen	Ajustes de la app	Paramètres de l’appli	App-instellingen
autoDetectPermissions	Automatische Erkennung & Berechtigungen	Detección automática y permisos	Détection auto et autorisations	Automatisch detecteren en machtigingen
dangerZone	Gefahrenzone	Zona de peligro	Zone sensible	Gevaarzone
dataStorage	Daten & Speicher	Datos y almacenamiento	Données et stockage	Gegevens en opslag
deleteAccount	Konto löschen	Eliminar cuenta	Supprimer le compte	Account verwijderen
exportClearCache	Daten exportieren & Cache leeren	Exportar datos y vaciar caché	Exporter les données et vider le cache	Gegevens exporteren en cache wissen
faqContactUs	FAQ & Kontakt	Preguntas frecuentes y contacto	FAQ et contact	Veelgestelde vragen en contact
free	Kostenlos	Gratis	Gratuit	Gratis
helpSupport	Hilfe & Support	Ayuda y soporte	Aide et assistance	Hulp en ondersteuning
language	Sprache	Idioma	Langue	Taal
loading	Laden…	Cargando…	Chargement…	Laden…
location	Standort	Ubicación	Localisation	Locatie
logOutOfYourAccount	Von deinem Konto abmelden	Cerrar sesión en tu cuenta	Se déconnecter de votre compte	Uitloggen bij je account
moodyChatSubtitleDirectCity	{city} · gerader Reisebuddy	{city} · compañero de viaje directo	{city} · pote voyage sans détour	{city} · no-nonsense reismaatje
moodyChatSubtitleDirectNoCity	Gerader Reisebuddy	Compañero de viaje directo	Pote voyage sans détour	No-nonsense reismaatje
moodyChatSubtitleEnergeticCity	Dein {city}-Hype-Reisebuddy	Tu compañero de viaje hype en {city}	Ton pote voyage hype à {city}	Jouw {city}-hype-reismaatje
moodyChatSubtitleEnergeticNoCity	Dein Hype-Reisebuddy	Tu compañero de viaje hype	Ton pote voyage hype	Jouw hype-reismaatje
moodyChatSubtitleFriendlyCity	Dein Reisebuddy in {city}	Tu compañero de viaje en {city}	Ton pote voyage à {city}	Jouw reismaatje in {city}
moodyChatSubtitleFriendlyNoCity	Dein Reisebuddy	Tu compañero de viaje	Ton pote voyage	Jouw reismaatje
moodyChatSubtitleProfessionalCity	Dein Reisebegleiter in {city}	Tu acompañante de viaje en {city}	Ton compagnon de voyage à {city}	Jouw reisgenoot in {city}
moodyChatSubtitleProfessionalNoCity	Dein professioneller Reisebegleiter	Tu acompañante de viaje profesional	Ton compagnon de voyage professionnel	Jouw professionele reisgenoot
more	Mehr	Más	Plus	Meer
permanentlyDeleteYourData	Daten dauerhaft löschen	Eliminar tus datos de forma permanente	Supprimer définitivement vos données	Je gegevens permanent verwijderen
